event_type,product_id,category_code,brand,price,shipping_price,seller,ratings,title
view,item2b821bdefc,smartphone,Unknown Brand,,0.0,"one.stop.shoppee (2,101) 96.2%",,"iQOO 13 5G (Legend, 16GB RAM, 512GB ) Snapdragon 8 Elite 50MP Global Version"
view,item34bb3678ad,smartphone,Unknown Brand,,0.0,smawholesales (872) 95.8%,,24 Ultra Unlocked 128GB Smartphone 5G Android 6800mAh Dual Free SIM
view,item5e4d080d75,smartphone,Unknown Brand,,0.0,gctech_automation (291) 93.5%,,Original Nokia 1110 1110i GSM 2G Unlocked HOT SALE GSM900/1800 Mobile Phone
view,item1cccedf9af,smartphone,Unknown Brand,,0.0,"bigpocketsoutlet (116,888) 99.7%",3.0,"Kurio Phone Kids 4"" Sim Free Smartphone Unlocked Android 4+32GB Parental Control"
view,item5c194a185e,smartphone,Unknown Brand,,0.0,"qiutianguo (5,712) 96.3%",,"SOYES XS18 Pro Max 4.3"" Mini Android Phone Dual SIM Dual Standby 4G Smartphone"
view,item2f8ab5c345,smartphone,Unknown Brand,,0.0,"amcelltech (63,086) 99.1%",4.5,Samsung Galaxy Note 20 5G SM-N981U 128GB Fully Unlocked GSM+CDMA All Carriers
view,item1f717cbb67,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Cricket Dream 5G (EC211001) 64GB (Cricket Wireless) - Clean IMEI - SCRATCHES
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,item5a41afade8,smartphone,Unknown Brand,,0.0,glo_sales (807) 98.6%,4.0,iPhone 15 Pro 128GB Natural Titanium Locked: T-Mobile Good Condition
view,item2fc6264612,smartphone,Unknown Brand,,0.0,onemax-market (105) 100%,,UMIDIGI G3 Plus Android 13 Unlocked Cell Phone Support Global Band Dual Sim 4G
view,item21fc006863,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular ZG55 - 32GB - (CARRIER UNKNOWN) Budget Android Go Smartphone
view,item551086d50d,smartphone,Unknown Brand,,0.0,prgadgets (10) 100%,5.0,"iPhone 11 AT&T 128GB Black (FaceID not working, Battery and Screen remplace)"
view,item2db32ddd43,smartphone,Unknown Brand,,0.0,"qualitycellz (162,195) 100%",4.0,"TCL 20S 6.67"" T7730 128GB 4G LTE + GSM Factory Unlocked Smartphone Open Box"
view,item5c34fb52e3,smartphone,Unknown Brand,,0.0,"anitraders2020 (4,910) 98.2%",,Xiaomi Redmi Note 13 Pro Po+ 4G 5G 8GB 256GB 512GB Dual SIM Unlocked NEW
view,item3bc81b110f,smartphone,Unknown Brand,,0.0,"trends_tech (1,884) 97.1%",,9D ULTRA Gorilla Glass For Samsung Galaxy S24 S23 S22 Tempered Screen Protector
view,item3b92b11e54,smartphone,Unknown Brand,,0.0,"ebaay_shop (27,490) 97.9%",,Brand New Basic 2G Samsung GT-E1200 Mobile Phone Single Sim Unlocked UK STOCK
view,item450d1ae190,smartphone,Unknown Brand,,0.0,bestbuymarket5 (83) 100%,4.5,NEW Huawei P30 PRO 128GB Unlocked Android Dual Sim Black Pristine condition A++
view,item3ba4b8f386,smartphone,Unknown Brand,,0.0,amigosky (325) 98.9%,,"Cubot KingKong 9 Rugged Smartphone FREE watch Helio G99, 120Hz 6.583-Inch Screen"
view,item52f8627c2e,smartphone,Unknown Brand,,0.0,"dessi-eshop (10,189) 99.9%",,CARTINE ELEMENTS RAINBOW LUNGHE KING SIZE SLIM 50 LIBRETTI
view,item44913244f7,smartphone,Unknown Brand,,0.0,"uk-phone-shop (3,579) 94.2%",4.0,NEW Nokia 6300 Classic Silver Black Gold Unlocked Camera Bluetooth Mobile Phone
view,item1f8877c806,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,(Lot of 5) BLU Studio Mini 2023 (ST1020T) 32GB (CARRIER UNKNOWN) Smartphones
view,item4e2e247d86,smartphone,Unknown Brand,,0.0,stewawrz_7 (6) 0%,5.0,NEW LISTINGSamsung Galaxy Z Fold4 - 256 GB - Black (AT&T)
view,item2b63e0d7dc,smartphone,Unknown Brand,,0.0,"amcelltech (63,086) 99.1%",4.5,NEW SAMSUNG GALAXY S21 ULTRA 5G SM-G998U1 FACTORY UNLOCKED GSM+CDMA ALL CARRIERS
view,item1f7092618d,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,SKY Devices Elite B63 - 16GB - (GSM Unlocked) Dual SIM Android Smartphone
view,item577e9f3ec7,smartphone,Unknown Brand,,0.0,rongshengtai-3 (30) 80%,,"New Android S25 Ultra 7.3"" HD Smartphone 5G Unlocked 16GB+512GB 48MP Camera"
view,item34b0b2d3fc,smartphone,Unknown Brand,,0.0,"yog1984_3 (25,849) 98.6%",,Clear Magnetic Charging Case For Samsung Galaxy Z Fold 6 / Fold 5 /Fold 4/ Filp5
